dataset,method,gamma,accuracy,runtime_s,train_size,test_size,n_classes
ShakeGestureWiimoteZ,sharp_sdtw_div,3.0,0.9,27.48687243461609,50,50,10
Car,sharp_sdtw_div,7.0,0.7333333333333333,30.71594548225403,60,60,4
ECG5000,sdtw_div,7.0,0.868,53.2064573764801,500,4500,5
ShakeGestureWiimoteZ,sdtw_div,5.0,0.82,16.372267961502075,50,50,10
Car,sdtw_div,10.0,0.7333333333333333,19.108248710632324,60,60,4
ShakeGestureWiimoteZ,sharp_sdtw_div,5.0,0.86,28.05473208427429,50,50,10
Car,sharp_sdtw_div,10.0,0.75,30.63238859176636,60,60,4
CBF,sdtw_div,0.5,0.9544444444444444,6.023606777191162,30,900,3
ShakeGestureWiimoteZ,sdtw_div,7.0,0.78,15.865922212600708,50,50,10
CBF,sharp_sdtw_div,0.5,0.9622222222222222,8.295562267303467,30,900,3
CBF,sdtw_div,1.0,0.9488888888888888,6.165415048599243,30,900,3
CBF,sharp_sdtw_div,1.0,0.9555555555555556,7.774792671203613,30,900,3
ECG5000,sharp_sdtw_div,7.0,0.8435555555555555,70.85953497886658,500,4500,5
CBF,sdtw_div,3.0,0.9033333333333332,5.981192350387573,30,900,3
ShakeGestureWiimoteZ,sharp_sdtw_div,7.0,0.84,26.32128548622132,50,50,10
CBF,sharp_sdtw_div,3.0,0.96,8.392529964447021,30,900,3
ShakeGestureWiimoteZ,sdtw_div,10.0,0.78,13.366941928863524,50,50,10
CBF,sdtw_div,5.0,0.8877777777777778,5.898453235626221,30,900,3
CBF,sharp_sdtw_div,5.0,0.9277777777777778,7.681314945220947,30,900,3
CBF,sdtw_div,7.0,0.8755555555555555,5.777866363525391,30,900,3
CBF,sharp_sdtw_div,7.0,0.92,7.547249317169189,30,900,3
ShakeGestureWiimoteZ,sharp_sdtw_div,10.0,0.84,25.21903705596924,50,50,10
SmoothSubspace,sdtw_div,0.5,0.84,0.121044635772705,150,150,3
SmoothSubspace,sharp_sdtw_div,0.5,0.8933333333333333,0.1747639179229736,150,150,3
SmoothSubspace,sdtw_div,1.0,0.8333333333333334,0.0974390506744384,150,150,3
SmoothSubspace,sharp_sdtw_div,1.0,0.84,0.1437058448791504,150,150,3
SmoothSubspace,sdtw_div,3.0,0.84,0.0336785316467285,150,150,3
SmoothSubspace,sharp_sdtw_div,3.0,0.84,0.0878400802612304,150,150,3
SmoothSubspace,sdtw_div,5.0,0.84,0.0338048934936523,150,150,3
SmoothSubspace,sharp_sdtw_div,5.0,0.84,0.0459864139556884,150,150,3
SmoothSubspace,sdtw_div,7.0,0.84,0.0336863994598388,150,150,3
SmoothSubspace,sharp_sdtw_div,7.0,0.84,0.0431091785430908,150,150,3
SmoothSubspace,sdtw_div,10.0,0.84,0.0338082313537597,150,150,3
SmoothSubspace,sharp_sdtw_div,10.0,0.84,0.04305100440979,150,150,3
